# runemap live — text weather for agents  (updated 2026-08-04 08:10 UTC)

beijing    now: PARTLY_CLOUDY_DAY  temp 35C  humidity 55%  wind 7km/h  precip 0.00
shanghai   now: PARTLY_CLOUDY_DAY  temp 33C  humidity 60%  wind 8km/h  precip 0.00
guangzhou  now: MODERATE_RAIN  temp 28C  humidity 87%  wind 9km/h  precip 0.30
singapore  now: CLEAR_DAY  temp 31C  humidity 61%  wind 14km/h  precip 0.00
bangkok    now: CLOUDY  temp 32C  humidity 42%  wind 7km/h  precip 0.00
chiangmai  now: CLOUDY  temp 30C  humidity 77%  wind 4km/h  precip 0.00
london     now: CLOUDY  temp 24C  humidity 39%  wind 11km/h  precip 0.00
newyork    now: CLOUDY  temp 20C  humidity 71%  wind 5km/h  precip 0.00

per-city: live/<city>/en live/<city>/zh (one-screen scene) | live/<city>.txt (brief) | live/<city>_radar.txt (radar)
cities: beijing, shanghai, guangzhou, singapore, bangkok, chiangmai, london, newyork
